"행사ID","행사명","장소","행사내용","행사시작일자","행사종료일자","행사시작시각","행사종료시각","요금정보","입장연령","주차장보유여부","소재지도로명주소","소재지지번주소","위도","경도"
6273,"(11월 브런치 콘서트) La Danza 클래식","백조홀","공연클래식",22/11/09,22/11/09,"11:00","12:00","유료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6274,"앙상블 클라비어 힙클","웅부홀","공연복합",22/11/10,22/11/10,"19:30","21:10","유료","8세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6275,"합창교향곡  VIVA ANDONG","웅부홀","공연클래식",22/11/11,22/11/11,"19:30","20:40","무료","7세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6276,"싱어롱콘서트 뮤지컬 무지개 물고기","백조홀","공연뮤지컬",22/11/12,22/11/12,"11:00","12:00","유료","24개월 이상 관람","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6277,"싱어롱콘서트 뮤지컬 무지개 물고기","백조홀","공연뮤지컬",22/11/12,22/11/12,"14:00","15:00","유료","24개월 이상 관람","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6278,"싱어롱콘서트 뮤지컬 무지개 물고기","백조홀","공연뮤지컬",22/11/13,22/11/13,"11:00","12:00","유료","24개월 이상 관람","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6279,"2022 풍산그룹과 함께하는 대한민국 청소년교향악축제","웅부홀","공연클래식",22/10/13,22/10/13,"19:00","19:40","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6280,"2022 풍산그룹과 함께하는 대한민국 청소년교향악축제","웅부홀","공연클래식",22/10/14,22/10/14,"13:30","14:10","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6281,"스위스 취리히 유스 심포니 오케스트라 내한공연","웅부홀","공연클래식",22/10/14,22/10/14,"19:30","21:30","유료","8세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6282,"정부인안동장씨 추모여성휘호대회 전시회","34갤러리","전시서예",22/10/15,22/10/19,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6283,"2022 풍산그룹과 함께하는 대한민국 청소년교향악축제","웅부홀","공연클래식",22/10/15,22/10/15,"14:30","15:10","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6284,"2022 풍산그룹과 함께하는 대한민국 청소년교향악축제","웅부홀","공연클래식",22/10/15,22/10/15,"17:00","17:40","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6285,"2022 풍산그룹과 함께하는 대한민국 청소년교향악축제","웅부홀","공연클래식",22/10/15,22/10/15,"19:30","20:10","무료","5세 이상 관람 가능","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6286,"한국서예협회 제8회 안동지부전","35갤러리","전시서예",22/10/18,22/10/22,"10:00","19:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6287,"손인락 플루트 독주회","백조홀","공연클래식",22/10/19,22/10/19,"19:00","20:00","무료","제한 X","Y","경상북도 안동시 축제장길 66","경상북도 안동시 안흥동 373-6",36.559409,128.725076
6493,"경주 문화에술 르네상스 - 북부권역 ’모서야 놀자’","모서놀자학교 어르신돌봄센터","공연",23/12/23,23/12/23,"14:00","16:00","무료","전연령","Y","경상북도 경주시 강동면 모서안길 99-16","경상북도 경주시 강동면 모서리 529",35.95071008,129.2528492
6494,"잘츠부르크 오케스트라 솔리스텐 공연","금산다락원 생명의집","유럽지역의 주요 솔로연주자들로 구성된 초일류 챔버오케스트라 공연",18/03/08,18/03/08,"19:30","21:30","유료","8세이상","Y","충청남도 금산군 금산읍 금산로 1559","충청남도 금산군 금산읍 중도리 203-1",36.11206754,127.4916373
6495,"관현악공연","금산다락원 생명의집","다이나믹한 관현악단과 대중음악의 조화",18/03/22,18/03/22,"14:00","16:00","무료","전체관람가","Y","충청남도 금산군 금산읍 금산로 1559","충청남도 금산군 금산읍 중도리 203-1",36.11206754,127.4916373
