"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1304,"너른고을 대보름 놀이 한마당","청석공원 일원",24/02/24,24/02/24,"정월 대보름 놀이 한마당","홈페이지 정보 없음","경기도 광주시 파발로 38","경기도 광주시 쌍령동 480-1",37.40986912,127.2620664
1305,"광주왕실 도자컨퍼런스","곤지암도자공원 일원",24/05/03,24/05/15,"광주왕실 도자컨퍼런스","홈페이지 정보 없음","경기도 광주시 곤지암읍 경충대로 727","경기도 광주시 곤지암읍 삼리 72-1",37.35027997,127.3347904
1306,"김천 부곡맛고을 어울림 큰잔치","김천 부곡맛고을",23/10/06,23/10/07,"맛고을 시식회 등 문화축제","홈페이지 정보 없음","경상북도 김천시 부곡맛고을2길 24","경상북도 김천시 부곡동 1546",36.1244158061,128.0909506087
1307,"김천 황금시장 김장양념축제","김천 황금시장",23/11/24,23/11/25,"김장양념 체험행사 및 판매","홈페이지 정보 없음","경상북도 김천시 황금시장4길 20","경상북도 김천시 황금동 31-1",36.116675,128.1252833453
1308,"김천 평화시장&평화로상가 한마음 대축제","김천 평화시장",23/10/27,23/10/28,"떡 시식회 및 판매, 다양한 물품 바자회 등","홈페이지 정보 없음","경상북도 김천시 김천로 100","경상북도 김천시 평화동 259-3",36.123640507,128.113082
1309,"팜앤컬쳐페스타(농촌체험페스티벌)","김천시종합스포츠타운",24/10/11,24/10/13,"시민에게 농촌 및 농업문화 체험 기회 제공","홈페이지 정보 없음","경상북도 김천시 운동장길 1","경상북도 김천시 삼락동 488-1",36.13969402,128.086502
1310,"보수동책방골목문화축제","보수동책방골목 및 문화관",23/10/20,23/10/21,"책읽는마을 심포지엄+공연행사+체험 등","http://www.bosubook.com/","부산광역시 중구 흑교로46번길 11","부산광역시 중구 보수동1가 119-6",35.10362715,129.0261809
1311,"부산국제영화제 전야제","BIFF광장일원",23/10/03,23/10/09,"축하공연","https://www.biff.kr","부산광역시 중구 비프광장로 36","부산광역시 중구 남포동5가 18-1",35.09862035,129.0287588
1312,"부산자갈치축제","자갈치시장 및 유라리광장 일원",23/10/05,23/10/08,"개막식+길놀이+체험프로그램 등","http://www.ejagalchi.com/","부산광역시 중구 자갈치해안로 52","부산광역시 중구 남포동4가 37-1",35.0966394,129.0305933
1313,"광복로겨울빛트리축제","광복로 및 중구 관내 일원",23/12/01,24/01/31,"일루미네이션 크리스마스트리장식+성탄음악행사+시민참여행사+점등식 등","홈페이지 정보 없음","부산광역시 중구 광복중앙로 2","부산광역시 중구 남포동4가 37-2",35.0995432,129.0314651
1314,"금산인삼축제","금삼세계인삼엑스포 광장",23/10/06,23/10/15,"인삼캐기 체험+인삼약초체험+생활건강 체험 등 건강 체험관 운영+국제인삼교역전+인삼생활관+축제 40주년 기념 금산인삼 시대별 콘텐츠 구성 응답하라 1981 등","http://www.insamfestival.co.kr/html/kr/index.html","충청남도 금산군 금산읍 인삼광장로 30","충청남도 금산군 금산읍 신대리 392",36.10001508,127.5007303
1315,"김제지평선축제","전북 김제시 벽골제",24/10/02,24/10/06,"벽골제 제사+지평선 전국 농악 경연 대회+농악경연 대회+벽골제 쌍룡 햇불 퍼레이드+지평선 김제夜놀자+쌍룡 서치&고고쇼+벽골제 오색 별빛의 향연","https://www.gimje.go.kr/festival/index.gimje","전북특별자치도 김제시 부량면 벽골제로 442","전북특별자치도 김제시 부량면 신용리 242-10",35.75462558,126.8531043
